2006,Sports
1985,Platform
2008,Racing
2009,Sports
1996,Role-Playing
1989,Puzzle
2006,Platform
2006,Misc
2009,Platform
1984,Shooter
2005,Simulation
2005,Racing
1999,Role-Playing
2007,Sports
2010,Misc
2009,Sports
2013,Action
2004,Action
1990,Platform
2005,Misc
2006,Role-Playing
1989,Platform
1988,Platform
2013,Action
2002,Action
2002,Role-Playing
2005,Puzzle
2010,Role-Playing
2001,Racing
2011,Shooter
1998,Role-Playing
2015,Shooter
2010,Shooter
2013,Role-Playing
2012,Shooter
2012,Shooter
2009,Shooter
2011,Shooter
2001,Action
2008,Fighting
2011,Racing
2010,Shooter
2014,Action
2005,Simulation
2007,Shooter
1996,Platform
2009,Action
2014,Role-Playing
2004,Racing
2007,Platform
1992,Adventure
2008,Action
1997,Racing
2011,Platform
2010,Racing
2009,Shooter
1993,Platform
2008,Action
2004,Role-Playing
2004,Platform
2013,Shooter
2011,Misc
2012,Platform
1996,Racing
2010,Shooter
1997,Role-Playing
2012,Shooter
1999,Racing
2010,Misc
2013,Shooter
2007,Shooter
1994,Platform
2013,Misc
2012,Simulation
2007,Misc
2011,Role-Playing
1992,Racing
2015,Sports
2004,Shooter
2010,Misc
2007,Misc
2012,Action
1997,Shooter
2012,Role-Playing
2001,Role-Playing
2009,Simulation
2007,Sports
2015,Shooter
1999,Role-Playing
1982,Puzzle
2008,Role-Playing
2005,Action
2014,Shooter
1998,Action
2016,Sports
1997,Platform
2014,Fighting
2010,Platform
1988,Platform
2015,Shooter
2008,Shooter
2011,Shooter
2003,Racing
2009,Misc
2011,Shooter
2015,Role-Playing
1998,Fighting
2006,Action
2016,Role-Playing
1998,Platform
2014,Racing
2001,Fighting
2003,Racing
2004,Racing
2002,Shooter
1996,Platform
2012,Misc
2008,Shooter
2011,Action
2010,Sports
2007,Shooter
2009,Action
2011,Sports
2005,Misc
1986,Action
2010,Action
2013,Sports
2012,Action
2010,Platform
2001,Shooter
2011,Role-Playing
2004,Role-Playing
2002,Role-Playing
2000,Role-Playing
2009,Shooter
2010,Action
2002,Platform
1992,Fighting
2004,Role-Playing
1999,Action
2011,Shooter
2010,Sports
2006,Shooter
2014,Sports
2001,Action
1992,Platform
1998,Action
2008,Action
2006,Role-Playing
2013,Action
2008,Platform
1998,Action
2009,Role-Playing
1996,Fighting
2014,Shooter
2007,Action
2006,Simulation
1988,Puzzle
1999,Fighting
2009,Action
2007,Adventure
2009,Racing
2001,Platform
2008,Role-Playing
2011,Action
2014,Action
2001,Racing
2001,Platform
1999,Strategy
2001,Platform
2008,Shooter
2016,Shooter
1989,Puzzle
2009,Role-Playing
1999,Misc
2000,Role-Playing
2012,Action
2003,Role-Playing
1999,Platform
2014,Shooter
2014,Misc
2009,Action
1997,Action
2013,Simulation
2012,Platform
2004,Role-Playing
2003,Platform
2007,Puzzle
1994,Platform
2012,Action
1995,Platform
2012,Role-Playing
2003,Shooter
1992,Platform
1996,Simulation
2006,Misc
2010,Role-Playing
2008,Sports
2009,Action
2007,Action
1999,Platform
2010,Sports
1996,Action
